id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,51 Eridani b,97,2 Jupiters,5.21149,2015
51,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
52,55 Cancri b,41,0.8306 Jupiters,5.96,1996
53,55 Cancri c,41,0.1714 Jupiters,5.96,2004
54,55 Cancri d,41,3.878 Jupiters,5.96,2002
55,55 Cancri e,41,7.99 Earths,5.96,2004
56,55 Cancri f,41,0.141 Jupiters,5.96,2007
57,61 Virginis b,28,5.1 Earths,4.735,2009
58,61 Virginis c,28,18.2 Earths,4.735,2009
59,61 Virginis d,28,22.9 Earths,4.735,2009
60,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
61,70 Virginis b,58,7.49 Jupiters,4.96808,1996
62,75 Ceti b,271,3 Jupiters,5.3532,2012
63,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
64,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
65,81 Ceti b,330,5.3 Jupiters,5.64307,2008
66,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
67,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
68,AB Aurigae b,529,9 Jupiters,7.076,2022
69,AB Pictoris b,163,13.5 Jupiters,9.13,2005
70,AF Leporis b,88,3.2 Jupiters,6.332,2023
71,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
72,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
73,AU Microscopii b,32,20.12 Earths,8.81,2020
74,AU Microscopii c,32,9.6 Earths,8.81,2021
75,51 Eridani b,97,2 Jupiters,5.21149,2015
76,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
77,55 Cancri b,41,0.8306 Jupiters,5.96,1996
78,55 Cancri c,41,0.1714 Jupiters,5.96,2004
79,55 Cancri d,41,3.878 Jupiters,5.96,2002
80,55 Cancri e,41,7.99 Earths,5.96,2004
81,55 Cancri f,41,0.141 Jupiters,5.96,2007
82,61 Virginis b,28,5.1 Earths,4.735,2009
83,61 Virginis c,28,18.2 Earths,4.735,2009
84,61 Virginis d,28,22.9 Earths,4.735,2009
85,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
86,70 Virginis b,58,7.49 Jupiters,4.96808,1996
87,75 Ceti b,271,3 Jupiters,5.3532,2012
88,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
89,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
90,81 Ceti b,330,5.3 Jupiters,5.64307,2008
91,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
92,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
93,AB Aurigae b,529,9 Jupiters,7.076,2022
94,AB Pictoris b,163,13.5 Jupiters,9.13,2005
95,AF Leporis b,88,3.2 Jupiters,6.332,2023
96,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
97,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
98,AU Microscopii b,32,20.12 Earths,8.81,2020
99,AU Microscopii c,32,9.6 Earths,8.81,2021
100,b Centauri AB b,320,10.9 Jupiters,4.01,2021
101,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
102,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
103,BD-06 1339 b,66,8.5 Earths,9.7,2013
104,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
105,BD-08 2823 b,135,12.7132 Earths,9.86,2009
106,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
107,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
108,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
109,BD-11 4672 c,89,15.37 Earths,10.03,2020
110,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
111,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
112,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
113,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
114,BD-17 63 b,112,5.1 Jupiters,9.62,2008
115,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
116,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
117,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
118,BD+20 594 b,585,22.2481 Earths,10.849,2016
119,BD-210397 b,77,0.7 Jupiters,9.84,2023
120,BD-210397 c,77,2.4 Jupiters,9.84,2023
121,BD+45 564 b,175,1.36 Jupiters,9.67,2021
122,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
123,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
124,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
125,BD+55 362 b,171,0.72 Jupiters,9.38,2021
126,BD+60 1417 b,147,15 Jupiters,9.374,2021
127,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
128,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
129,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
130,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
131,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
132,CD Ceti b,28,3.95 Earths,13.95,2020
133,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
134,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
135,CHXR 73 b,621,12.569 Jupiters,,2006
136,CI Tauri b,515,11.6 Jupiters,13.642,2019
137,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
138,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
139,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
140,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
141,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
142,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
143,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
144,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
145,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
146,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
147,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
148,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
149,CoRoT-20 c,2753,17 Jupiters,14.63,2018
150,BD+55 362 b,171,0.72 Jupiters,9.38,2021
151,BD+60 1417 b,147,15 Jupiters,9.374,2021
152,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
153,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
154,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
155,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
156,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
157,CD Ceti b,28,3.95 Earths,13.95,2020
158,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
159,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
160,CHXR 73 b,621,12.569 Jupiters,,2006
161,CI Tauri b,515,11.6 Jupiters,13.642,2019
162,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
163,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
164,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
165,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
166,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
167,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
168,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
169,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
170,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
171,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
172,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
173,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
174,CoRoT-20 c,2753,17 Jupiters,14.63,2018
175,BD+55 362 b,171,0.72 Jupiters,9.38,2021
176,BD+60 1417 b,147,15 Jupiters,9.374,2021
177,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
178,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
179,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
180,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
181,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
182,CD Ceti b,28,3.95 Earths,13.95,2020
183,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
184,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
185,CHXR 73 b,621,12.569 Jupiters,,2006
186,CI Tauri b,515,11.6 Jupiters,13.642,2019
187,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
188,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
189,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
190,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
191,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
192,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
193,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
194,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
195,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
196,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
197,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
198,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
199,CoRoT-20 c,2753,17 Jupiters,14.63,2018
200,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
201,CoRoT-22 b,2046,12.2 Earths,13.82,2014
202,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
203,CoRoT-24 b,1930,5.7 Earths,15.383,2014
204,CoRoT-24 c,1930,28 Earths,15.383,2014
205,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
206,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
207,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
208,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
209,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
210,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
211,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
212,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
213,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
214,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
215,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
216,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
217,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
218,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
219,CoRoT-7 b,522,4.07661 Earths,11.728,2009
220,CoRoT-7 c,522,8.4 Earths,11.728,2009
221,CoRoT-7 d,522,17.142 Earths,11.728,2022
222,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
223,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
224,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
225,CT Chamaleontis b,622,17 Jupiters,12.335,2007
226,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
227,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
228,DH Tauri b,440,11 Jupiters,13.98,2004
229,DMPP-1 b,204,24.27 Earths,7.98,2019
230,DMPP-1 c,204,9.6 Earths,7.98,2019
231,DMPP-1 d,204,3.35 Earths,7.98,2019
232,DMPP-1 e,204,4.13 Earths,7.98,2019
233,DMPP-2 b,450,0.437 Jupiters,8.57,2019
234,DMPP-3 A b,148,2.58 Earths,9.066,2019
235,DMPP-4 b,83,12.2 Earths,5.72936,2023
236,DP Leonis b,997,6.28 Jupiters,18.6837,2009
237,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
238,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
239,EPIC 201238110 b,520,4.16 Earths,16.014,2019
240,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
241,EPIC 201497682 b,825,0.26 Earths,13.948,2019
242,EPIC 201595106 b,757,2.24 Earths,11.746,2021
243,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
244,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
245,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
246,EPIC 201833600 c,840,0.972 Earths,14.705,2019
247,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
248,EPIC 205950854 c,796,2.27 Earths,12.365,2019
249,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
